Job ID: 27788185
Node:   spartan-gpgpu171
GPU:    0
GPU 0: NVIDIA H100 80GB HBM3 (UUID: GPU-70ecc709-6022-7e09-50b0-e2070472848f)
cuda: True NVIDIA H100 80GB HBM3
Start:  Tue 21 Jul 2026 18:05:03 AEST
device=cuda, model=conductance, nofruns=1, nofsteps=1000, lrs=[0.1], nparams=112, fname=training_with_Ih.npy, outdir=/home/yitai/drosophila_vision/temporal_filtering/SimulationCode/0trained/conductance/27788185-train-target-spot-syn-strength-fixed-all-network-right_min_neuron1_extent3

round 0

step 239: cost=173.8503  [spot_bright=103.1555  spot_dark=70.6948]
step 240: cost=172.7118  [spot_bright=103.6480  spot_dark=69.0638]
step 241: cost=172.7019  [spot_bright=104.7918  spot_dark=67.9100]
step 242: cost=172.5826  [spot_bright=103.8867  spot_dark=68.6959]
step 243: cost=173.6937  [spot_bright=103.3847  spot_dark=70.3090]
step 244: cost=172.5254  [spot_bright=104.1735  spot_dark=68.3520]
step 245: cost=172.6186  [spot_bright=104.6098  spot_dark=68.0088]
step 246: cost=172.8719  [spot_bright=103.8371  spot_dark=69.0347]
step 247: cost=173.3474  [spot_bright=103.6235  spot_dark=69.7239]
step 248: cost=172.6055  [spot_bright=104.2845  spot_dark=68.3210]
step 249: cost=172.6081  [spot_bright=104.4694  spot_dark=68.1387]
step 250: cost=172.9662  [spot_bright=103.8761  spot_dark=69.0902]
step 251: cost=173.1685  [spot_bright=103.7807  spot_dark=69.3877]
step 252: cost=172.5802  [spot_bright=104.3330  spot_dark=68.2472]
step 253: cost=172.5413  [spot_bright=104.4275  spot_dark=68.1138]
step 254: cost=172.9209  [spot_bright=103.9504  spot_dark=68.9705]
step 255: cost=173.0030  [spot_bright=103.9072  spot_dark=69.0958]
step 256: cost=172.5335  [spot_bright=104.3538  spot_dark=68.1797]
step 257: cost=172.5241  [spot_bright=104.3779  spot_dark=68.1462]
step 258: cost=172.9186  [spot_bright=103.9583  spot_dark=68.9603]
step 259: cost=172.9202  [spot_bright=103.9537  spot_dark=68.9665]
step 260: cost=172.5671  [spot_bright=104.3280  spot_dark=68.2391]
step 261: cost=172.6172  [spot_bright=104.2503  spot_dark=68.3669]
step 262: cost=173.0077  [spot_bright=103.8834  spot_dark=69.1243]
step 263: cost=172.7964  [spot_bright=104.0386  spot_dark=68.7578]
step 264: cost=172.6025  [spot_bright=104.3204  spot_dark=68.2822]
step 265: cost=172.7834  [spot_bright=104.0471  spot_dark=68.7363]
step 266: cost=172.9776  [spot_bright=103.8821  spot_dark=69.0955]
step 267: cost=172.6500  [spot_bright=104.2328  spot_dark=68.4172]
step 268: cost=172.7071  [spot_bright=104.1338  spot_dark=68.5733]
step 269: cost=173.0086  [spot_bright=103.8346  spot_dark=69.1740]
step 270: cost=172.6847  [spot_bright=104.1778  spot_dark=68.5070]
step 271: cost=172.7573  [spot_bright=104.0539  spot_dark=68.7034]
step 272: cost=173.0006  [spot_bright=103.8068  spot_dark=69.1938]
step 273: cost=172.6827  [spot_bright=104.2463  spot_dark=68.4363]
step 274: cost=173.0525  [spot_bright=103.7556  spot_dark=69.2968]
step 275: cost=172.7136  [spot_bright=104.1518  spot_dark=68.5618]
step 276: cost=172.9724  [spot_bright=103.8069  spot_dark=69.1655]
step 277: cost=172.7233  [spot_bright=104.1383  spot_dark=68.5851]
step 278: cost=173.1321  [spot_bright=103.6974  spot_dark=69.4347]
step 279: cost=172.7625  [spot_bright=104.5405  spot_dark=68.2220]
step 280: cost=174.9428  [spot_bright=103.2423  spot_dark=71.7005]
step 281: cost=174.1431  [spot_bright=105.8170  spot_dark=68.3261]
step 282: cost=175.6397  [spot_bright=103.1995  spot_dark=72.4403]
step 283: cost=172.5414  [spot_bright=104.1417  spot_dark=68.3997]
step 284: cost=172.7788  [spot_bright=105.1254  spot_dark=67.6533]
step 285: cost=174.4115  [spot_bright=103.3182  spot_dark=71.0933]
step 286: cost=172.5212  [spot_bright=104.0237  spot_dark=68.4975]
step 287: cost=172.5265  [spot_bright=104.8911  spot_dark=67.6354]
step 288: cost=173.0199  [spot_bright=103.6521  spot_dark=69.3677]
step 289: cost=173.1601  [spot_bright=103.5898  spot_dark=69.5703]
step 290: cost=172.3291  [spot_bright=104.6201  spot_dark=67.7089]
step 291: cost=172.2892  [spot_bright=104.2538  spot_dark=68.0353]
step 292: cost=173.3803  [spot_bright=103.5373  spot_dark=69.8430]
step 293: cost=172.3283  [spot_bright=104.0954  spot_dark=68.2330]
step 294: cost=172.1435  [spot_bright=104.6420  spot_dark=67.5015]
step 295: cost=172.5140  [spot_bright=104.0804  spot_dark=68.4336]
step 296: cost=173.2573  [spot_bright=103.9729  spot_dark=69.2844]
step 297: cost=172.4633  [spot_bright=104.6522  spot_dark=67.8111]
step 298: cost=172.1715  [spot_bright=104.3732  spot_dark=67.7983]
step 299: cost=172.9054  [spot_bright=103.7112  spot_dark=69.1941]
