edge_idx,src_node,tar_node,source_cell,target_cell,syn_sign,syn_strength_edge
397,2769,5588,T4c,TmY15,1,0.100000
398,8290,6859,T5a,T5a,1,0.992579
399,2440,3606,Tm2,T5d,1,1.031149
400,5559,1870,L1,L5,-1,10.000000
401,11004,2277,R1-6,Lai,-1,2.627790
402,532,2901,Mi4,TmY3,-1,0.100000
403,12005,13971,Mi2,Tm21,-1,0.993260
404,10421,7553,Mi1,Mi4,1,5.857176
405,6897,3213,Tm3,T4a,1,0.100000
406,10623,2054,R1-6,L3,-1,3.032195
407,10593,2008,Tm1,T2a,1,1.032755
408,10255,5102,Mi10,Mi14,1,10.000000
409,9395,3566,Tm1,Tm4,1,0.100000
410,13903,2774,Mi1,C2,1,3.869268
411,6147,10282,Mi2,Tm21,-1,1.020510
412,3612,11057,Tm1,Mi9,1,2.735652
413,12379,14417,C3,Lai,-1,1.001596
414,6550,5404,Tm3,TmY14,1,4.445301
415,10570,5527,R7,L3,-1,1.301971
416,11953,2056,R1-6,L2,-1,4.893788
417,6145,398,T4c,TmY14,1,0.647160
418,3876,7891,Tm3,TmY5a,1,0.978411
419,8705,1735,Mi1,L1,1,4.240337
420,7941,9579,Mi1,T4d,1,0.951612
421,14305,12299,L5,Tm3,1,0.100000
422,12448,4571,Mi9,Tm2,-1,9.464864
423,13895,14035,Tm3,T4a,1,0.138836
424,13012,6886,TmY15,TmY14,-1,8.289836
425,9985,4959,R1-6,Lai,-1,2.313280
426,10480,6294,L5,Tm3,1,4.356548
427,11844,12662,Tm3,T3,1,1.002430
428,163,12621,C3,T2,-1,1.015734
429,7836,6422,Mi1,T4d,1,0.993988
430,9969,4846,Tm4,TmY5a,1,0.992179
431,6125,5716,T5d,TmY5a,1,9.987634
432,10659,2012,Tm1,L5,1,0.100000
433,8708,8570,Tm3,TmY3,1,0.114962
434,1754,8139,Mi4,Mi9,-1,2.704183
435,9970,5239,Tm16,Tm9,1,0.193843
436,606,775,Lai,T1,1,0.966034
437,7375,1095,R7,Tm5b,-1,0.486729
438,11693,9761,T3,Tm3,1,0.996796
439,7332,1856,L4,L3,1,3.208550
440,2050,8550,Tm2,T2,1,0.100000
441,4214,13237,L5,Tm21,1,1.045751
442,3626,1359,L3,T1,1,0.993169
443,13167,7967,Tm3,T4a,1,0.100000
444,2838,3229,Mi4,Tm27,-1,2.343075
445,978,13846,Tm3,Tm3,1,9.561286
446,10432,3895,Mi1,Mi15,1,0.100000
447,7641,7959,Tm2,T2,1,0.100000
448,4081,9610,Tm3,TmY15,1,9.279480
449,11696,3519,T4b,T4b,1,0.987442
450,4794,10186,Mi1,T3,1,1.018236
451,5968,9996,Mi1,T4a,1,0.100000
452,13621,12397,L4,Tm2,1,6.607224
453,4555,5262,Tm3,T4a,1,0.100000
454,2021,4530,Mi4,Mi9,-1,6.041408
455,7634,6584,R1-6,Lai,-1,2.607662
456,10569,1252,Mi10,Lawf1,1,3.609660
457,4823,11047,Tm2,TmY3,1,10.000000
458,3338,4558,Tm1,TmY9q__perp,1,1.031137
459,11716,3328,L2,Tm4,1,8.798510
460,9426,3791,Tm16,TmY11,1,0.308481
461,9258,12730,C3,T4a,-1,1.032655
462,11926,12166,Tm2,T5c,1,1.017090
463,3201,5452,Mi13,Mi1,-1,0.855222
464,8604,12414,Mi9,Mi15,-1,0.954692
465,2371,7078,C3,Tm4,-1,0.100000
466,10014,12892,C3,L2,-1,1.930858
467,980,549,Tm16,Tm9,1,0.228043
468,11167,5494,Tm3,T3,1,1.024507
469,14171,11305,L5,C3,1,0.100000
470,12714,3071,Lawf1,T1,1,0.978775
471,12855,7751,Tm4,T5c,1,0.972334
472,14278,10607,Tm4,TmY5a,1,0.100000
473,1649,8465,Mi9,T4a,-1,2.010489
474,9639,326,Mi1,T4d,1,1.045544
475,5847,10062,Tm2,T5c,1,1.047066
476,7806,6310,C2,L5,-1,5.279523
