raw_type,n_neurons,resolved_type,param_source,fallback_target,dominant_nt
LT69,1,LT69,nt:acetylcholine,,acetylcholine
LT72,1,LT72,nt:acetylcholine,,acetylcholine
LT75,1,LT75,nt:acetylcholine,,acetylcholine
LT76,1,LT76,nt:acetylcholine,,acetylcholine
LT79,1,LT79,nt:acetylcholine,,acetylcholine
LT83,1,LT83,nt:acetylcholine,,acetylcholine
LT84,1,LT84,nt:acetylcholine,,acetylcholine
LT85,1,LT85,nt:acetylcholine,,acetylcholine
LT86,1,LT86,nt:acetylcholine,,acetylcholine
LT87,1,LT87,nt:acetylcholine,,acetylcholine
LTe04,1,LTe04,nt:acetylcholine,,acetylcholine
LTe05,1,LTe05,nt:acetylcholine,,acetylcholine
LTe06,1,LTe06,nt:acetylcholine,,acetylcholine
LTe07,1,LTe07,nt:glutamate,,glutamate
LTe08,1,LTe08,nt:acetylcholine,,acetylcholine
LTe10,1,LTe10,nt:acetylcholine,,acetylcholine
LTe11,1,LTe11,nt:acetylcholine,,acetylcholine
LTe12,1,LTe12,nt:acetylcholine,,acetylcholine
LTe13,1,LTe13,nt:acetylcholine,,acetylcholine
LTe14,1,LTe14,nt:acetylcholine,,acetylcholine
LTe15,1,LTe15,nt:acetylcholine,,acetylcholine
