t,ms,cost_t,gt_aff_mean,gt_mean,sel_mean,SSE_t,POWER_t
191,955,8.9407719003,0.5100663938,-1.8099676559,-7.8224921997e-10,66.2333342043,740.8010733663
192,960,9.9967433598,0.5325568759,-1.7862147996,-7.6293051174e-10,72.1250096577,721.4850583024
193,965,11.1274468252,0.5547522072,-1.7627736605,-7.4408890749e-10,78.1895308928,702.6726986075
194,970,12.3355008965,0.5766562613,-1.7396401479,-7.2571262431e-10,84.4181066827,684.3508617213
195,975,13.6236024961,0.5982728606,-1.7168102247,-7.0779017032e-10,90.8022312523,666.5067575086
196,980,14.9945290751,0.6196057774,-1.6942799067,-6.9031033743e-10,97.3336760978,649.1279293305
197,985,16.4511408800,0.6406587348,-1.6720452623,-6.7326219439e-10,104.0044820285,632.2022453484
198,990,17.9963832814,0.6614354066,-1.6501024111,-6.5663507990e-10,110.8069514264,615.7178900557
199,995,19.6332891667,0.6819394187,-1.6284475238,-6.4041859595e-10,117.7336407160,599.6633560290
200,1000,21.3649813985,0.7021743492,-1.6070768214,-6.2460260137e-10,124.7773530409,584.0274358950
